"","cell","TissueType","OncoTree1","OncoTree2","OncoTree3","OncoTree4","TNBC","name","source","celloidx","celloacs","cid","ot2","ot3","ot4","ot1","link"
"69","bc-1","lymphoma","Lymph","Non-Hodgkin's Lymphoma (NHL)","B-Cell Lymphoma (BCL)","","","BC-1","gdscDec15;gdsc1;gdsc2","BC-1","CVCL_1079","bc-1","non-hodgkin's lymphoma","b-cell lymphoma","","Lymph","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/bc-1_cvcl_1079.html' target='_blank'>details</a>"
"70","bc-2","","Lymph","Non-Hodgkin's Lymphoma (NHL)","B-Cell Lymphoma (BCL)","","","BC-2","gdscDec15","BC-2","CVCL_1856","bc-2","non-hodgkin's lymphoma","b-cell lymphoma","","Lymph","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/bc-2_cvcl_1856.html' target='_blank'>details</a>"
"71","bc-3","lymphoma","Lymph","Non-Hodgkin's Lymphoma (NHL)","B-Cell Lymphoma (BCL)","","","BC-3","gdscDec15;gdsc1;gdsc2","BC-3","CVCL_1080","bc-3","non-hodgkin's lymphoma","b-cell lymphoma","","Lymph","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/bc-3_cvcl_1080.html' target='_blank'>details</a>"
"72","bc-3c","urinary_tract: transitional_cell_carcinoma;Urinary Tract;urinary_tract","Bladder_Urinary_Tract","Bladder Urothelial Carcinoma (BLCA);Bladder Carcinoma;bladder_carcinoma","Bladder Transitional Cell;bladder_transitional_cell","","","BC-3C;BC3C","ccle;prism;achilles","BC-3C","CVCL_1958","bc-3c","bladder urothelial carcinoma;bladder carcinoma","bladder transitional cell","","Bladder_Urinary_Tract","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/bc-3c_cvcl_1958.html' target='_blank'>details</a>"
"73","bcbl-1","blood","Blood","","","","","BCBL1","mdaMills","BCBL-1","CVCL_0165","bcbl-1","","","","Blood","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/bcbl-1_cvcl_0165.html' target='_blank'>details</a>"
"74","bcp-1","haematopoietic_and_lymphoid_tissue: B_cell_lymphoma_unspecified","Lymph","Non-Hodgkin's Lymphoma (NHL)","B-Cell Lymphoma (BCL)","","","BCP-1","ccle","BCP-1","CVCL_0107","bcp-1","non-hodgkin's lymphoma","b-cell lymphoma","","Lymph","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/bcp-1_cvcl_0107.html' target='_blank'>details</a>"
"75","bdcm","haematopoietic_and_lymphoid_tissue: acute_lymphoblastic_B_cell_leukaemia","Blood","Leukemia (LEUK)","Acute Lymphoid Leukemia (ALL)","","","BDCM","ccle","BDCM","CVCL_4613","bdcm","leukemia","acute lymphoid leukemia","","Blood","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/bdcm_cvcl_4613.html' target='_blank'>details</a>"
"76","be-13","leukemia","Blood","Leukemia (LEUK)","","","","BE-13","gdscDec15;gdsc1;gdsc2","BE-13","CVCL_1081","be-13","leukemia","","","Blood","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/be-13_cvcl_1081.html' target='_blank'>details</a>"
"77","becker","central_nervous_system: astrocytoma_Grade_IV;GBM;Central Nervous System;nervous_system","Brain_CNS","Diffuse Glioma (DIFG);Glioma","Astrocytoma (ASTR);","","","Becker;BECKER","ccle;gdscDec15;prism;gdsc1;gdsc2","Becker","CVCL_1093","becker","diffuse glioma;glioma","astrocytoma;","","Brain_CNS","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/becker_cvcl_1093.html' target='_blank'>details</a>"
"78","ben","lung: carcinoma;CANNOT_CLASSIFY;Lung;lung_NSCLC","Lung","NSCLC","","","","BEN","ccle;gdscDec15;prism;gdsc1;gdsc2","BEN","CVCL_1082","ben","nsclc","","","Lung","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/ben_cvcl_1082.html' target='_blank'>details</a>"
"79","bftc-905","urinary_tract: transitional_cell_carcinoma;BLCA;Urinary Tract;urinary_tract;urogenital_system","Bladder_Urinary_Tract","Bladder Urothelial Carcinoma (BLCA);Bladder Carcinoma;bladder_carcinoma","Bladder Transitional Cell;bladder_transitional_cell","","","BFTC-905;BFTC905","ccle;gdscDec15;prism;achilles;gdsc1;gdsc2","BFTC-905","CVCL_1083","bftc-905","bladder urothelial carcinoma;bladder carcinoma","bladder transitional cell","","Bladder_Urinary_Tract","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/bftc-905_cvcl_1083.html' target='_blank'>details</a>"
"80","bftc-909","kidney: carcinoma;KIRC;Kidney;kidney","Kidney","Renal Cell Carcinoma (RCC);Renal Cell Carcinoma;renal_cell_carcinoma","Transitional Cell;transitional_cell","","","BFTC-909;BFTC909","ccle;gdscDec15;prism;achilles;gdsc1;gdsc2","BFTC-909","CVCL_1084","bftc-909","renal cell carcinoma","transitional cell","","Kidney","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/bftc-909_cvcl_1084.html' target='_blank'>details</a>"
"81","bht-101","thyroid: anaplastic_carcinoma;THCA;Thyroid;thyroid","Thyroid","Anaplastic Thyroid Cancer (THAP);Thyroid Carcinoma","Papillary","","","BHT-101;BHT101","ccle;gdscDec15;prism;gdsc1;gdsc2","BHT-101","CVCL_1085","bht-101","anaplastic thyroid cancer;thyroid carcinoma","papillary","","Thyroid","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/bht-101_cvcl_1085.html' target='_blank'>details</a>"
"82","bhy","upper_aerodigestive_tract: squamous_cell_carcinoma;HNSC;upper_aerodigestive_tract;aero_dig_tract","Head_Neck","upper_aerodigestive_squamous","oral","","","BHY","ccle;gdscDec15;achilles;gdsc1;gdsc2","BHY","CVCL_1086","bhy","upper aerodigestive squamous","oral","","Head_Neck","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/bhy_cvcl_1086.html' target='_blank'>details</a>"
"83","bicr-10","HNSC;aero_dig_tract","Head_Neck","","","","","BICR10","gdscDec15;gdsc1;gdsc2","BICR 10","CVCL_2307","bicr-10","","","","Head_Neck","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/bicr-10_cvcl_2307.html' target='_blank'>details</a>"
"84","bicr-16","upper_aerodigestive_tract: squamous_cell_carcinoma;Head_Neck;upper_aerodigestive_tract","Head_Neck","Head_Neck Squamous;upper_aerodigestive_squamous","Oral;oral","","","BICR 16;BICR16","ccle;prism;achilles","BICR 16","CVCL_2308","bicr-16","head neck squamous;upper aerodigestive squamous","oral","","Head_Neck","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/bicr-16_cvcl_2308.html' target='_blank'>details</a>"
"85","bicr-18","upper_aerodigestive_tract: squamous_cell_carcinoma","Head_Neck","","","","","BICR 18","ccle","BICR 18","CVCL_2309","bicr-18","","","","Head_Neck","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/bicr-18_cvcl_2309.html' target='_blank'>details</a>"
"86","bicr-22","upper_aerodigestive_tract: squamous_cell_carcinoma;HNSC;lymph_node;aero_dig_tract","Head_Neck","upper_aerodigestive_squamous","oral","","","BICR 22;BICR22","ccle;gdscDec15;achilles;gdsc1;gdsc2","BICR 22","CVCL_2310","bicr-22","upper aerodigestive squamous","oral","","Head_Neck","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/bicr-22_cvcl_2310.html' target='_blank'>details</a>"
"87","bicr-31","upper_aerodigestive_tract: squamous_cell_carcinoma;Head_Neck;upper_aerodigestive_tract;aero_dig_tract","Head_Neck","Head_Neck Squamous;upper_aerodigestive_squamous","Oral;oral","","","BICR 31;BICR31","ccle;gdscDec15;prism;achilles;gdsc1;gdsc2","BICR 31","CVCL_2312","bicr-31","head neck squamous;upper aerodigestive squamous","oral","","Head_Neck","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/bicr-31_cvcl_2312.html' target='_blank'>details</a>"
"88","bicr-56","upper_aerodigestive_tract: squamous_cell_carcinoma;Head_Neck;upper_aerodigestive_tract","Head_Neck","Head_Neck Squamous;upper_aerodigestive_squamous","Oral;oral","","","BICR 56;BICR56","ccle;prism;achilles","BICR 56","CVCL_2313","bicr-56","head neck squamous;upper aerodigestive squamous","oral","","Head_Neck","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/bicr-56_cvcl_2313.html' target='_blank'>details</a>"
"89","bicr-6","upper_aerodigestive_tract: squamous_cell_carcinoma;Head_Neck;upper_aerodigestive_tract","Head_Neck","Head_Neck Squamous;upper_aerodigestive_squamous","Oral;oral","","","BICR 6;BICR6","ccle;prism;achilles","BICR 6","CVCL_2314","bicr-6","head neck squamous;upper aerodigestive squamous","oral","","Head_Neck","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/bicr-6_cvcl_2314.html' target='_blank'>details</a>"
"90","bicr-78","HNSC;upper_aerodigestive_tract;aero_dig_tract","Head_Neck","upper_aerodigestive_squamous","oral","","","BICR78","gdscDec15;achilles;gdsc1;gdsc2","BICR 78","CVCL_2315","bicr-78","upper aerodigestive squamous","oral","","Head_Neck","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/bicr-78_cvcl_2315.html' target='_blank'>details</a>"
"91","bin-67","bone","Ovary","SCCOHT","","","","BIN67","achilles","BIN-67","CVCL_S987","bin-67","sccoht","","","Ovary","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/bin-67_cvcl_s987.html' target='_blank'>details</a>"
"92","bj1-htert","skin: immortalized_fibroblast","Skin","","","","","BJ hTERT","ccle","BJ1-hTERT","CVCL_6573","bj1-htert","","","","Skin","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/bj1-htert_cvcl_6573.html' target='_blank'>details</a>"
"93","bjab","Burkitt lymphoma","Lymph","","","","","BJAB","ancats","BJAB","CVCL_5711","bjab","","","","Lymph","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/bjab_cvcl_5711.html' target='_blank'>details</a>"
"94","bl-2","Burkitt lymphoma","Lymph","","","","","BL-2","ancats","BL-2","CVCL_1966","bl-2","","","","Lymph","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/bl-2_cvcl_1966.html' target='_blank'>details</a>"
"95","bl-41","haematopoietic_and_lymphoid_tissue: Burkitt_lymphoma;lymphoma","Lymph","Non-Hodgkin's Lymphoma (NHL)","B-Cell Lymphoma (BCL)","Burkitt Lymphoma (BL)","","BL-41;BL41","ccle;gdscDec15;mdaMills;gdsc1;gdsc2","BL-41","CVCL_1087","bl-41","non-hodgkin's lymphoma","b-cell lymphoma","burkitt lymphoma","Lymph","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/bl-41_cvcl_1087.html' target='_blank'>details</a>"
"96","bl-70","haematopoietic_and_lymphoid_tissue: Burkitt_lymphoma;haematopoietic_and_lymphoid_tissue","Lymph","Non-Hodgkin's Lymphoma (NHL);non_hodgkin_lymphoma","B-Cell Lymphoma (BCL);b_cell_burkitt","Burkitt Lymphoma (BL)","","BL-70;BL70","ccle;gdscDec15;achilles;mdaMills","BL-70","CVCL_1088","bl-70","non-hodgkin's lymphoma;non hodgkin lymphoma","b-cell lymphoma;b cell burkitt","burkitt lymphoma","Lymph","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/bl-70_cvcl_1088.html' target='_blank'>details</a>"
"97","blue-1","bone_marrow;blood","Lymph;Blood","non_hodgkin_lymphoma","b_cell_burkitt","","","BLUE1","achilles;mdaMills","BLUE-1","CVCL_1967","blue-1","non hodgkin lymphoma","b cell burkitt","","Lymph;Blood","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/blue-1_cvcl_1967.html' target='_blank'>details</a>"
"98","boku","CESC;cervix","Cervix","cervical_squamous","","","","BOKU","gdscDec15;achilles","BOKU","CVCL_1089","boku","cervical squamous","","","Cervix","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/boku_cvcl_1089.html' target='_blank'>details</a>"
"99","bonna-12","leukemia","Blood","Leukemia","Hairy cell leukemia;Hairy cell leukemia","","","BONNA-12","gdscDec15;gdsc2","BONNA-12","CVCL_1090","bonna-12","leukemia","hairy cell leukemia;hairy cell leukemia","","Blood","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/bonna-12_cvcl_1090.html' target='_blank'>details</a>"
"100","bph-1","OTHER;urogenital_system","Prostate","","","","","BPH-1","gdscDec15;gdsc1;gdsc2","BPH-1","CVCL_1091","bph-1","","","","Prostate","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/bph-1_cvcl_1091.html' target='_blank'>details</a>"
"101","bt-12","Soft_Tissue;soft_tissue","Soft_Tissue","ATRT","","","","BT12","ccle;achilles","BT-12","CVCL_M155","bt-12","atrt","","","Soft_Tissue","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/bt-12_cvcl_m155.html' target='_blank'>details</a>"
"102","bt-16","soft_tissue","Soft_Tissue","ATRT","","","","BT16","achilles","BT-16","CVCL_M156","bt-16","atrt","","","Soft_Tissue","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/bt-16_cvcl_m156.html' target='_blank'>details</a>"
"103","bt-20","breast: ductal_carcinoma;BRCA;breast","Breast","Breast Carcinoma (BRCA)","Breast Invasive Ductal Carcinoma (IDC)","","Breast Triple Negative","BT-20","ccle;gdscDec15;gdsc1;gdsc2","BT-20","CVCL_0178","bt-20","breast carcinoma","breast invasive ductal carcinoma","","Breast","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/bt-20_cvcl_0178.html' target='_blank'>details</a>"
"104","bt-474","breast: ductal_carcinoma;BRCA;Breast;breast","Breast","Breast Carcinoma (BRCA);Breast Ductal Carcinoma","Breast Invasive Ductal Carcinoma (IDC);ERpos HER2pos","HER2 Amp","","BT-474;BT474","ccle;gdscDec15;prism;mdaMills;gdsc1;gdsc2","BT-474","CVCL_0179","bt-474","breast carcinoma;breast ductal carcinoma","breast invasive ductal carcinoma;erpos her2pos","her2 amp","Breast","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/bt-474_cvcl_0179.html' target='_blank'>details</a>"
"105","bt-483","breast: ductal_carcinoma;BRCA;breast","Breast","Breast Carcinoma (BRCA)","Breast Invasive Ductal Carcinoma (IDC)","","","BT-483;BT483","ccle;gdscDec15;mdaMills;gdsc1;gdsc2","BT-483","CVCL_2319","bt-483","breast carcinoma","breast invasive ductal carcinoma","","Breast","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/bt-483_cvcl_2319.html' target='_blank'>details</a>"
"106","bt-549","breast;breast: ductal_carcinoma;Breast","Breast","Breast Carcinoma (BRCA);Breast Ductal Carcinoma;breast_ductal_carcinoma","Breast Invasive Ductal Carcinoma (IDC);ERneg HER2neg;ERneg_HER2neg","Basal B","Breast Triple Negative","BR:BT-549;BT-549;BT549","nci60;ccle;gdscDec15;prism;achilles;mdaMills;gdsc1;gdsc2","BT-549","CVCL_1092","bt-549","breast carcinoma;breast ductal carcinoma","breast invasive ductal carcinoma;erneg her2neg","basal b","Breast","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/bt-549_cvcl_1092.html' target='_blank'>details</a>"
"107","bv-173","haematopoietic_and_lymphoid_tissue: blast_phase_chronic_myeloid_leukaemia;leukemia","Blood","Leukemia (LEUK)","Chronic Myelogenous Leukemia (CML)","","","BV-173","ccle;gdscDec15;gdsc1;gdsc2","BV-173","CVCL_0181","bv-173","leukemia","chronic myelogenous leukemia","","Blood","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/bv-173_cvcl_0181.html' target='_blank'>details</a>"
"108","bxpc-3","pancreas: ductal_carcinoma;PAAD;Pancreas;pancreas","Pancreas","Pancreatic Adenocarcinoma (PAAD);Exocrine;exocrine","Exocrine Adenocarcinoma;exocrine_adenocarcinoma","","","BxPC-3;BXPC3","ccle;gdscDec15;prism;achilles;mdaMills;gdsc1;gdsc2","BxPC-3","CVCL_0186","bxpc-3","pancreatic adenocarcinoma;exocrine","exocrine adenocarcinoma","","Pancreas","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/bxpc-3_cvcl_0186.html' target='_blank'>details</a>"
"109","c-33-a","CESC;cervix;urogenital_system","Cervix","cervical_carcinoma","","","","C-33-A;C33A","gdscDec15;achilles;gdsc1;gdsc2","C-33 A","CVCL_1094","c-33-a","cervical carcinoma","","","Cervix","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/c-33-a_cvcl_1094.html' target='_blank'>details</a>"
"110","c-4-i","CESC;urogenital_system","Cervix","","","","","C-4-I","gdscDec15;gdsc1;gdsc2","C-4-I","CVCL_2253","c-4-i","","","","Cervix","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/c-4-i_cvcl_2253.html' target='_blank'>details</a>"
"111","c-4-ii","cervix","Cervix","cervical_carcinoma","","","","C4II","achilles","C-4-II","CVCL_1095","c-4-ii","cervical carcinoma","","","Cervix","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/c-4-ii_cvcl_1095.html' target='_blank'>details</a>"
"112","c10","large_intestine","Bowel","colorectal_adenocarcinoma","","","","C10","achilles","C10","CVCL_5245","c10","colorectal adenocarcinoma","","","Bowel","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/c10_cvcl_5245.html' target='_blank'>details</a>"
"113","c2bbe1","large_intestine: adenocarcinoma;Colon;large_intestine","Bowel","Colorectal Adenocarcinoma (COADREAD);colorectal_adenocarcinoma","","","","C2BBe1;C2BBE1","ccle;gdscDec15;achilles;mdaMills;gdsc1;gdsc2","C2BBe1","CVCL_1096","c2bbe1","colorectal adenocarcinoma","","","Bowel","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/c2bbe1_cvcl_1096.html' target='_blank'>details</a>"
"114","c75","large_intestine","Bowel","colorectal_adenocarcinoma","","","","C75","achilles","C75","CVCL_5248","c75","colorectal adenocarcinoma","","","Bowel","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/c75_cvcl_5248.html' target='_blank'>details</a>"
"115","c80","large_intestine","Bowel","colorectal_adenocarcinoma","","","","C80","achilles","C80","CVCL_5249","c80","colorectal adenocarcinoma","","","Bowel","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/c80_cvcl_5249.html' target='_blank'>details</a>"
"116","c8166","Lymph;haematopoietic_and_lymphoid_tissue","Lymph","ATL","","","","C8166","ccle;achilles","C8166","CVCL_1099","c8166","atl","","","Lymph","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/c8166_cvcl_1099.html' target='_blank'>details</a>"
"117","c84","large_intestine","Bowel","colorectal_adenocarcinoma","","","","C84","achilles","C84","CVCL_5250","c84","colorectal adenocarcinoma","","","Bowel","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/c84_cvcl_5250.html' target='_blank'>details</a>"
"118","c99","large_intestine","Bowel","colorectal_adenocarcinoma","","","","C99","achilles","C99","CVCL_8176","c99","colorectal adenocarcinoma","","","Bowel","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/c99_cvcl_8176.html' target='_blank'>details</a>"
"119","ca-ski","CESC;small_intestine;urogenital_system","Cervix","cervical_squamous","","","","Ca-Ski;CASKI","gdscDec15;achilles;gdsc1;gdsc2","Ca Ski","CVCL_1100","ca-ski","cervical squamous","","","Cervix","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/ca-ski_cvcl_1100.html' target='_blank'>details</a>"
"120","ca46","haematopoietic_and_lymphoid_tissue: Burkitt_lymphoma;lymphoma","Lymph","Non-Hodgkin's Lymphoma (NHL)","B-Cell Lymphoma (BCL)","Burkitt Lymphoma (BL)","","CA46","ccle;gdscDec15;mdaMills;gdsc1;gdsc2","CA46","CVCL_1101","ca46","non-hodgkin's lymphoma","b-cell lymphoma","burkitt lymphoma","Lymph","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/ca46_cvcl_1101.html' target='_blank'>details</a>"
"121","ca9-22","HNSC;aero_dig_tract","Head_Neck","","","","","Ca9-22","gdscDec15;gdsc1;gdsc2","Ca9-22","CVCL_1102","ca9-22","","","","Head_Neck","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/ca9-22_cvcl_1102.html' target='_blank'>details</a>"
"122","caco-2","Esophagus_Stomach;colon;Colon adenocarcinoma","Esophagus_Stomach;Bowel","","","","","CACO2;Caco-2","ccle;mdaMills;ancats","Caco-2","CVCL_0025","caco-2","","","","Esophagus_Stomach;Bowel","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/caco-2_cvcl_0025.html' target='_blank'>details</a>"
"123","cado-es1","bone: Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour;Bone;bone","Bone","Ewing Sarcoma (ES);Ewing Sarcoma","","EWS_ERG","","CADO-ES1;CADOES1","ccle;gdscDec15;prism;gdsc1;gdsc2","CADO-ES1","CVCL_1103","cado-es1","ewing sarcoma","","ews erg","Bone","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/cado-es1_cvcl_1103.html' target='_blank'>details</a>"
"124","caki-1","renal;kidney: clear_cell_renal_cell_carcinoma;KIRC;Kidney;skin;kidney","Kidney","Renal Cell Carcinoma (RCC);Renal Cell Carcinoma;renal_cell_carcinoma","Renal Clear Cell Carcinoma (CCRCC);Clear Cell;clear_cell","","","RE:CAKI-1;Caki-1;CAKI-1;CAKI1","nci60;ccle;gdscDec15;prism;achilles;mdaMills;gdsc1;gdsc2","Caki-1","CVCL_0234","caki-1","renal cell carcinoma","renal clear cell carcinoma;clear cell","","Kidney","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/caki-1_cvcl_0234.html' target='_blank'>details</a>"
